drug_name	drug_id	ind_name	ind_id	NCT	status	phase	DetailedStatus	label	functional_failure	doid_code	doid_name
Cetuximab	DB00002	Laryngeal Squamous Cell Carcinoma	C0280324		Approved			1		DOID:2596	larynx cancer
Cetuximab	DB00002	Malignant tumor of colon	C0007102		Approved			1		DOID:219	colon cancer
Trifluridine	DB00432	Malignant tumor of colon	C0007102		Approved			1		DOID:219	colon cancer
Fluorouracil	DB00544	Malignant tumor of colon	C0007102		Approved			1		DOID:219	colon cancer
Tipiracil	DB09343	Malignant tumor of colon	C0007102		Approved			1		DOID:219	colon cancer
Sulindac	DB00605	Malignant tumor of colon	C0007102	NCT00062023	Terminated	Phase 2	Study closed by the NCI.	0	True	DOID:219	colon cancer
Salicylic acid	DB00936	Malignant tumor of colon	C0007102	NCT00062023	Terminated	Phase 2	Study closed by the NCI.	0	True	DOID:219	colon cancer
Acetylsalicylic acid	DB00945	Malignant tumor of colon	C0007102	NCT00062023	Terminated	Phase 2	Study closed by the NCI.	0	True	DOID:219	colon cancer
Ursodeoxycholic acid	DB01586	Malignant tumor of colon	C0007102	NCT00062023	Terminated	Phase 2	Study closed by the NCI.	0	True	DOID:219	colon cancer
Mitomycin	DB00305	Malignant tumor of colon	C0007102	NCT00271011	Terminated	Phase 2	The study was discontinued due to the death of a co-investigator and a second co-investigator    leaving the institution.	0	True	DOID:219	colon cancer
Irinotecan	DB00762	Malignant tumor of colon	C0007102	NCT00271011	Terminated	Phase 2	The study was discontinued due to the death of a co-investigator and a second co-investigator    leaving the institution.	0	True	DOID:219	colon cancer
Bevacizumab	DB00112	Malignant tumor of colon	C0007102	NCT00394992	Terminated	Phase 3	Data from the C08 study and Avant study	0	True	DOID:219	colon cancer
Oxaliplatin	DB00526	Malignant tumor of colon	C0007102	NCT00394992	Terminated	Phase 3	Data from the C08 study and Avant study	0	True	DOID:219	colon cancer
Capecitabine	DB01101	Malignant tumor of colon	C0007102	NCT00394992	Terminated	Phase 3	Data from the C08 study and Avant study	0	True	DOID:219	colon cancer
Citalopram	DB00215	Malignant tumor of colon	C0007102	NCT00387348	Terminated	Phase 3	DSMB stopped study because placebo arm had more adverse events	0	True	DOID:219	colon cancer
Capecitabine	DB01101	Malignant tumor of colon	C0007102	NCT00538291	Terminated	Phase 2	Study was terminated early due to lack of efficacy.	0	True	DOID:219	colon cancer
Irinotecan	DB00762	Malignant tumor of colon	C0007102	NCT00677924	Terminated	Phase 1/Phase 2	Due to changes in portfolio review	0	True	DOID:219	colon cancer
Bevacizumab	DB00112	Malignant tumor of colon	C0007102	NCT01006369	Suspended	Phase 2	Interim analysis	0	True	DOID:219	colon cancer
Hydroxychloroquine	DB01611	Malignant tumor of colon	C0007102	NCT01006369	Suspended	Phase 2	Interim analysis	0	True	DOID:219	colon cancer
Irinotecan	DB00762	Malignant tumor of colon	C0007102	NCT01016860	Terminated	Phase 1	This study was discontinued due to a shown lack of efficacy in the investigational agent	0	True	DOID:219	colon cancer
Oxaliplatin	DB00526	Malignant tumor of colon	C0007102	NCT01157039	Withdrawn	Phase 2	abandoned	0	True	DOID:219	colon cancer
Aldesleukin	DB00041	Malignant tumor of colon	C0007102	NCT01212887	Terminated	Phase 1	due to safety concerns and lack of efficacy	0	True	DOID:219	colon cancer
Vidarabine	DB00194	Malignant tumor of colon	C0007102	NCT01212887	Terminated	Phase 1	due to safety concerns and lack of efficacy	0	True	DOID:219	colon cancer
Cyclophosphamide	DB00531	Malignant tumor of colon	C0007102	NCT01212887	Terminated	Phase 1	due to safety concerns and lack of efficacy	0	True	DOID:219	colon cancer
Fludarabine	DB01073	Malignant tumor of colon	C0007102	NCT01212887	Terminated	Phase 1	due to safety concerns and lack of efficacy	0	True	DOID:219	colon cancer
Irinotecan	DB00762	Malignant tumor of colon	C0007102	NCT01367275	Terminated	Phase 2	Sponsor closed study	0	True	DOID:219	colon cancer
Bevacizumab	DB00112	Malignant tumor of colon	C0007102	NCT01375816	Terminated	Phase 2	efficacy interim analysis as per protocol	0	True	DOID:219	colon cancer
Leucovorin	DB00650	Malignant tumor of colon	C0007102	NCT01375816	Terminated	Phase 2	efficacy interim analysis as per protocol	0	True	DOID:219	colon cancer
Irinotecan	DB00762	Malignant tumor of colon	C0007102	NCT01375816	Terminated	Phase 2	efficacy interim analysis as per protocol	0	True	DOID:219	colon cancer
Levoleucovorin	DB11596	Malignant tumor of colon	C0007102	NCT01375816	Terminated	Phase 2	efficacy interim analysis as per protocol	0	True	DOID:219	colon cancer
Etanercept	DB00005	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Anakinra	DB00026	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Adalimumab	DB00051	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Infliximab	DB00065	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Rituximab	DB00073	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Cyclosporine	DB00091	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Indomethacin	DB00328	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Betamethasone	DB00443	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Nabumetone	DB00461	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Celecoxib	DB00482	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Tolmetin	DB00500	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Piroxicam	DB00554	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Methotrexate	DB00563	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Fenoprofen	DB00573	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Diclofenac	DB00586	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Sulindac	DB00605	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Chloroquine	DB00608	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Triamcinolone	DB00620	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Prednisone	DB00635	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Flurbiprofen	DB00712	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Hydrocortisone	DB00741	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Etodolac	DB00749	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Naproxen	DB00788	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Sulfasalazine	DB00795	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Meloxicam	DB00814	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Penicillamine	DB00859	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Prednisolone	DB00860	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Diflunisal	DB00861	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Salicylic acid	DB00936	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Meclofenamic acid	DB00939	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Acetylsalicylic acid	DB00945	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Methylprednisolone	DB00959	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Oxaprozin	DB00991	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Azathioprine	DB00993	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Auranofin	DB00995	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Ketoprofen	DB01009	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Ibuprofen	DB01050	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Leflunomide	DB01097	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Dexamethasone	DB01234	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Abatacept	DB01281	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Lithium	DB01356	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Cortisone acetate	DB01380	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Magnesium salicylate	DB01397	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Salsalate	DB01399	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Tiaprofenic acid	DB01600	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Hydroxychloroquine	DB01611	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Tocilizumab	DB06273	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
golimumab	DB06674	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Teriflunomide	DB08880	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Tofacitinib	DB08895	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Certolizumab pegol	DB08904	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Loxoprofen	DB09212	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Dexibuprofen	DB09213	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Sodium aurothiomalate	DB09276	Rheumatoid Arthritis	C0003873		Approved			1		DOID:7148	rheumatoid arthritis
Belimumab	DB08879	Rheumatoid Arthritis	C0003873	NCT00583557	Terminated	Phase 2	Sponsor decision - not related to safety	0	True	DOID:7148	rheumatoid arthritis
Thalidomide	DB01041	Rheumatoid Arthritis	C0003873	NCT01285310	Terminated	Phase 2	Study is terminated due to lack of efficacy	0	True	DOID:7148	rheumatoid arthritis
Apremilast	DB05676	Rheumatoid Arthritis	C0003873	NCT01285310	Terminated	Phase 2	Study is terminated due to lack of efficacy	0	True	DOID:7148	rheumatoid arthritis
Dipyridamole	DB00975	Rheumatoid Arthritis	C0003873	NCT01612377	Terminated	Phase 2	missed endpoint of meaningful clinical benefit, compared to prednisolone 2.7mg	0	True	DOID:7148	rheumatoid arthritis
Etanercept	DB00005	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Adalimumab	DB00051	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Infliximab	DB00065	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Betamethasone	DB00443	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Triamcinolone	DB00620	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Prednisone	DB00635	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Hydrocortisone	DB00741	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Prednisolone	DB00860	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Methylprednisolone	DB00959	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Leflunomide	DB01097	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Dexamethasone	DB01234	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Cortisone acetate	DB01380	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Apremilast	DB05676	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Ustekinumab	DB05679	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
golimumab	DB06674	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Teriflunomide	DB08880	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Certolizumab pegol	DB08904	Arthritis, Psoriatic	C0003872		Approved			1		DOID:9008	psoriatic arthritis
Etanercept	DB00005	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Adalimumab	DB00051	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Infliximab	DB00065	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Indomethacin	DB00328	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Betamethasone	DB00443	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Celecoxib	DB00482	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Diclofenac	DB00586	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Sulindac	DB00605	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Triamcinolone	DB00620	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Prednisone	DB00635	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
Hydrocortisone	DB00741	Ankylosing spondylitis	C0038013		Approved			1		DOID:7147	ankylosing spondylitis
